Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Obecná knižnica Hoste;obecná NZ;Fungujúca;Hoste 93;925 45;Hoste;Galanta;Trnavský;Ľuboš Karel;905114713;;ouhoste@stonline.sk
Obecná knižnica Jasová;obecná NZ;Fungujúca;Jasová 303;941 34;Jasová;Nové Zámky;Nitriansky;Ing. Miroslav Habara;356477121;;starosta@jasovaobec.sk
Obecná knižnica Sulín;obecná NZ;Stagnujúca;Sulín 46;065 46;Sulín;Stará Ľubovňa;Prešovský;Anna Hiľáková;524282401;;obecsulin@livenet.sk
Obecná knižnica Trebatice;obecná NZ;Fungujúca;Hlavná ulica 247/107;922 10;Trebatice;Piešťany;Trnavský;Mgr. Juraj Valo;337798183;;starosta@trebatice.sk
Obecná knižnica Horný Badín;obecná NZ;Fungujúca;Horný Badín 38;962 51;Horný Badín;Krupina;Banskobystrický;Mária Hnilicová;910947326;;obechornybadin@gmail.com
Obecná knižnica Zvončín;obecná NZ;Fungujúca;Zvončín 82;919 01;Zvončín;Trnava;Trnavský;Mgr. Michaela Strakošová;903703806;;ouzvoncin@stonline.sk
Obecná knižnica Chmeľovec;obecná NZ;Fungujúca;Chmeľovec 98;082 12;Chmeľovec;Prešov;Prešovský;Ján Jakab;907474572;;chmelovec@pobox.sk
Obecná knižnica Martinček;obecná NZ;Fungujúca;Martinček;034 95;Martinček;Ružomberok;Žilinský;Marián Lauko;444351203;;ou@martincek.sk
Obecná knižnica Záborské;obecná NZ;Fungujúca;Záborské 39;082 53;Záborské;Prešov;Prešovský;Kristína Maliňáková;517798338;;obeczaborske@mail.t-com.sk
Obecná knižnica Brusník;obecná NZ;Fungujúca;Brusník 45;991 01;Brusník;Veľký Krtíš;Banskobystrický;Zuzana Mališová;474898129;;
Obecná knižnica Čebovce;obecná NZ;Fungujúca;Szedara Fabiana 320/162;991 25;Čebovce;Veľký Krtíš;Banskobystrický;Ladislav Martin;474882211;;obec@cebovce.sk
Obecná knižnica Čelovce;obecná NZ;Fungujúca;Čelovce 113;991 41;Čelovce;Veľký Krtíš;Banskobystrický;Ján Petroch;474883127;;obeccelovce@gmail.com
Obecná knižnica Lok;obecná NZ;Stagnujúca;Hlavná 10;935 38;Lok;Levice;Nitriansky;Jozef Szabo;366397302;;obec.lok@nextra.sk
Obecná knižnica Dačov Lom;obecná NZ;Fungujúca;Dačov Lom 113;991 35;Dačov Lom;Veľký Krtíš;Banskobystrický;Štefan Škraban;474874121;;darina.rellova@obecdacovlom.sk
Obecná knižnica Dolinka;obecná NZ;Stagnujúca;Dolinka 211;991 28;Dolinka;Veľký Krtíš;Banskobystrický;Ing. József Nagy;474889121;;dolinka@dolinka.org
Obecná knižnica Dolné Strháre;obecná NZ;Fungujúca;Dolné Strháre 126;991 03;Dolné Strháre;Veľký Krtíš;Banskobystrický;Ing. Miloš Beňov;474896312;;dolnestrhare@procomp.sk
Obecná knižnica Ďurkovce;obecná NZ;Stagnujúca;Ďurkovce 76;991 27;Ďurkovce;Veľký Krtíš;Banskobystrický;Eva Egryová;905378943;;obec.durkovce@gmail.com
Obecná knižnica Glabušovce;obecná NZ;Fungujúca;Glabušovce 24;991 22;Glabušovce;Veľký Krtíš;Banskobystrický;Štefan Chudý;474871180;;glabusovce@gmail.com
Obecná knižnica Horná Strehová;obecná NZ;Fungujúca;Horná Strehová 81;991 02;Horná Strehová;Veľký Krtíš;Banskobystrický;Jana Kukučková;474897197;;hornastrehova@procomp.sk
Obecná knižnica Veľké Orvište;obecná NZ;Fungujúca;Hlavná 17;922 01;Veľké Orvište;Piešťany;Trnavský;RNDr. Ľudovít Boleček;949367150;;starosta@velkeorviste.sk
Obecná knižnica Hornný Lieskov;obecná NZ;Fungujúca;Horný Lieskov 82;018 21;Horný Lieskov;Považská Bystrica;Trenčiansky;Ing. Andrej Torda;904545268;;starosta@lieskov.sk
Obecná knižnica Kozí Vrbovok;obecná NZ;Fungujúca;Kozí Vrbovok 42;962 41;Kozí Vrbovok;Krupina;Banskobystrický;Angela Valašťanová;918566730;;obeckozivrbovok@zvnet.net
Obecná knižnica Zubák;obecná NZ;Fungujúca;Zubák 164;020 64;Zubák;Púchov;Trenčiansky;Pavol Gelo;424710610;;obeczubak@stonline.sk
Obecná knižnica Staré;obecná NZ;Stagnujúca;Staré 208;072 23;Staré;Michalovce;Košický;Agáta Jesenková;566887041;;obec.stare@minet.sk
Obecná knižnica Zbehy;obecná NZ;Fungujúca;Zbehy 69;951 42;Zbehy;Nitra;Nitriansky;Ing. Ivan Habiňák;377793812;;obec@zbehy.sk
Obecná knižnica Jasenica;obecná NZ;Fungujúca;Jasenica 130;018 17;Jasenica;Považská Bystrica;Trenčiansky;Ing. Táňa Kňažková;424385184;;jasenica@stonline.sk
Obecná knižnica Semerovo;obecná NZ;Fungujúca;Semerovo 345;941 32;Semerovo;Nové Zámky;Nitriansky;Imrich Hrabovský;915043014;;obec.semerovo@stonline.sk
Obecná knižnica Bátovce;obecná NZ;Fungujúca;Bátovce 2;935 03;Bátovce;Levice;Nitriansky;Ing. Jaroslav Kurej;366394102;;ocubatovce@stonline.sk
Obecná knižnica Nižný Kručov;obecná NZ;Fungujúca;Nižný Kručov 48;093 01;Nižný Kručov;Vranov nad Topľou;Prešovský;Mgr. Vladimíra Hermanovská;574422002;;niznykrucov@gmail.com
Miestna ľudová knižnica Veľký Biel;obecná NZ;Stagnujúca;Železničná 80;900 24;Veľký Biel;Senec;Bratislavský;Anton Danter;458916221;;starostavb@nextra.sk
Obecná knižnica Čeľadice;obecná NZ;Fungujúca;Čeľadice 143;951 03;Čeľadice;Nitra;Nitriansky;Ing. Anton Laca;377877221;;obecceladice@stonline.sk
Obecná knižnica Orlov;obecná NZ;Fungujúca;Orlov 119;065 43;Orlov;Stará Ľubovňa;Prešovský;JUDr. Peter Timočko;524921321;;obecorlov@slnet.sk
Obecná knižnica Horné Lefantovce;obecná NZ;Fungujúca;Farská 24;951 45;Horné Lefantovce;Nitra;Nitriansky;Ing. Anton Bódi;377786355;;obec@hornelefantovce.sk
Obecná knižnica Háj;obecná NZ;Fungujúca;Háj 176;039 01;Háj;Turčianske Teplice;Žilinský;Jarmila Ižipová;434922685;;obecnyurad01@stonline.sk
Obecná knižnica Jovice;obecná NZ;Fungujúca;Hlavná 50;049 45;Jovice;Rožňava;Košický;František Barci;587326529;;obecjovice@kidrv.sk
Obecná knižnica Križovany nad Dudváhom;obecná NZ;Fungujúca;Križovany nad Dudváhom 1;919 24;Križovany nad Dudváhom;Trnava;Trnavský;Ing. Svetlana Masaryková;335584123;;starosta@krizovany.sk
Obecná knižnica Bašovce;obecná NZ;Fungujúca;Bašovce 160;922 01;Bašovce;Piešťany;Trnavský;Ing. Ľubomír Dekan;944111747;;obecnyurad@basovce.sk
Obecná knižnica Radôstke;obecná NZ;Fungujúca;Radôstka 51;023 04;Radôstka;Čadca;Žilinský;Jaroslav Fekula;944192969;;ou_radostka@stonline.sk
Miestna knižnica Sekule;obecná NZ;Stagnujúca;Sekule 570;908 80;Sekule;Senica;Trnavský;Pavla Maxianová;347770108;;starostka@obecsekule.sk
Obecná knižnica Santovka;obecná NZ;Fungujúca;Parková 2;935 87;Santovka;Levice;Nitriansky;Ľubomír Lőrincz;366399115;;martina.suhajova@obecsantovak.sk
Obecná knižnica Devičany;obecná NZ;Fungujúca;Devičany 75;935 04;Devičany;Levice;Nitriansky;Mgr. Monika Slížiková;902700764;;oudevicany@gmail.com
Obecná knižnica Očkov;obecná NZ;Stagnujúca;Očkov 177;916 22;Očkov;Nové Mesto nad Váhom;Trenčiansky;Ing. Ľubica Hrušovská;327794821;;obec.ockov@gmail.com
Obecná knižnica Zákamenné;obecná NZ;Fungujúca;Zákamenné 1060;029 56;Zákamenné;Námestovo;Žilinský;Ing. Milan Vrábeľ;915675375;;zakamenne@stonline.sk
Miestna ľudová knižnica Kaplna;obecná NZ;Fungujúca;Kaplna 39;900 84;Kaplna;Senec;Bratislavský;Vladimír Vittek;336455266;;starosta@kaplna.sk
Obecná knižnica Krásnohorská Dlhá Lúka;obecná NZ;Fungujúca;Hlavná 3;049 45;Krásnohorská Dlhá Lúka;Rožňava;Košický;Gabriel Klárik;905342600;;obeckdl@kidrv.sk
Obecná knižnica Horné Mladonice;obecná NZ;Fungujúca;Horné Mladonice 64;962 43;Horné Mladonice;Krupina;Banskobystrický;Erika Korčoková;907602313;;obechornemladonice@centrum.sk
Obecná knižnica Čeľadince;obecná NZ;Fungujúca;Čeľadince;956 16;Čeľadince 3;Topoľčany;Nitriansky;Milan Moravka;385310135;;celadince@stonline.sk
Obecná knižnica Letanovce;obecná NZ;Fungujúca;Slovenského raja 55;053 13;Letanovce;Spišská Nová Ves;Košický;Michal Urban;534299519;;obecletanovce@letanovce.eu
Obecná knižnica Podkriváň;obecná NZ;Fungujúca;Hlavná 87;985 51;Podkriváň;Detva;Banskobystrický;Jozef Malatinec;910791533;;obecpodkrivan@gmail.com
Obecná knižnica Vyšné Ružbachy;obecná NZ;Fungujúca;Vyšné Ružbachy 243;065 02;Vyšné Ružbachy;Stará Ľubovňa;Prešovský;Mgr. Ján Dudjak;524398110;;obec@obecvysneruzbachy.sk
Obecná knižnica Uňatín;obecná NZ;Fungujúca;Uňatín 49;962 41;Uňatín;Krupina;Banskobystrický;Anna Babiaková;455512595;;obec.unatin@azet.sk
Obecná knižnica Veľké Trakany;obecná NZ;Fungujúca;Rákocziho 419;076 42;Veľké Trakany;Trebišov;Košický;József Kopasz;566355129;;ou.vel.tr@stonline.sk
Obecná knižnica Beladice;obecná NZ;Fungujúca;Gaštanová 167;951 75;Beladice;Zlaté Moravce;Nitriansky;Miroslav Lisý;376330594;;beladice1@stonline.sk
Obecná knižnica Nižná Polianka;obecná NZ;Stagnujúca;Nižná Polianka 47;086 36;Nižná Polianka;Bardejov;Prešovský;Mgr. Ján Cundra;544722105;;cundra.jan@post.sk
Obecná knižnica Nižný Hrabovec;obecná NZ;Fungujúca;Nižný Hrabovec 155;094 21;Nižný Hrabovec;Vranov nad Topľou;Prešovský;Mgr. Marcela Pčolinská;574493141;;ocu.niznyhrabovec@mail.t-com.sk
Obecná knižnica Čata;obecná NZ;Fungujúca;Školská 1;935 63;Čata;Levice;Nitriansky;Ján Varga;918577173;;cata@nextra.sk
Obecná knižnica Brodzany;obecná NZ;Fungujúca;Brodzany 25;958 42;Brodzany;Partizánske;Trenčiansky;Anton Zima;387487250;;oubrodzany@stonline.sk
Obecná knižnica Renčišov;obecná NZ;Stagnujúca;Renčišov 11;082 63;Renčišov;Sabinov;Prešovský;Miroslav Paločko;514594211;;obec.rencisov@post.sk
Obecná knižnica Vyšná Sitnica;obecná NZ;Fungujúca;Vyšná Sitnica 59;094 07;Vyšná Sitnica;Humenné;Prešovský;Oliver Halas;574880428;;obecvysnasitnica@centrum.sk
Obecná knižnica Brhlovce;obecná NZ;Fungujúca;Brhlovce 156;935 02;Brhlovce;Levice;Nitriansky;Albín Kuhajda;366316321;;obec@brhlovce.sk
Obecná knižnica Podlužany;obecná NZ;Stagnujúca;Podlužany 72;956 52;Podlužany;Bánovce nad Bebravou;Trenčiansky;Ing. Pavel Miksa;387682136;;ocupodluzany@slovanet.sk
Obecná knižnica Drienica;obecná NZ;Fungujúca;Drienica 168;083 01;Drienica;Sabinov;Prešovský;Ing. Igor Birčák;514584222;;obec@drienica.sk
Obecná knižnica Čakanovce;obecná NZ;Fungujúca;Čakanovce 312;985 58;Čakanovce;Lučenec;Banskobystrický;Ing. Béla Gáspár;474491280;;obeccakanovce@mail.t-com.sk
Obecná knižnica Kapince;obecná NZ;Stagnujúca;Kapince 24;951 24;Kapince;Nitra;Nitriansky;Margita Tabačeková;377894021;;oukapince@wircom.sk
Obecná knižnica Chropov;obecná NZ;Fungujúca;Chropov 132;908 64;Chropov;Skalica;Trnavský;Anton Ivánek;346696112;;obec.chropov@mail.t-com.sk
Obecná knižnica Lukáčovce;obecná NZ;Fungujúca;Lukáčovce 2;951 23;Lukáčovce;Nitra;Nitriansky;Ing. Igor Cok;377829101;;obecnyurad@lukacovce.sk
Obecná knižnica Pohronský Ruskov;obecná NZ;Fungujúca;Kostolná 1;935 62;Pohronský Ruskov;Levice;Nitriansky;Ing. Ľudovít Nagy;918577173;;obecpohr.ruskov@stonline.sk
Obecná knižnica Tovarníky;obecná NZ;Fungujúca;Obrancov mieru 82/5;955 01;Tovarníky;Topoľčany;Nitriansky;Ing. Marián Nováčik;385326285;;tovarniky@tovarniky.eu
Obecná knižnica Branč;obecná NZ;Fungujúca;Mlynská zem 504/5;951 13;Branč;Nitra;Nitriansky;JUDr. Eduard Gulka;903490737;;starosta@obec-branc.sk
Obecná knižnica Skačany;obecná NZ;Fungujúca;Nám. SNP 451;958 53;Skačany;Partizánske;Trenčiansky;Ing. Ladislav Struhár;387488179;;obec@skacany.sk
Obecná knižnica Lúčka;obecná NZ;Fungujúca;Lúčka 39;049 42;Lúčka;Rožňava;Košický;Jozef Szabó;587979121;;obeclucka@gmail.com
Obecná knižnica Ladce;obecná NZ;Fungujúca;Hviezdoslavova 599;018 63;Ladce;Ilava;Trenčiansky;Ing. arch. Ján Remo;424628189;;starosta@ladce.sk
Obecná knižnica Malý Lipník;obecná NZ;Stagnujúca;Malý Lipník 64;065 46;Malý Lipník;Stará Ľubovňa;Prešovský;Ing. Jozef Šesták;524286026;;obecmalylipnik@livenet.sk
Obecná knižnica Cerovo;obecná NZ;Fungujúca;Cerovo 259;962 52;Cerovo;Krupina;Banskobystrický;Ing. Zdenko Ďurovkin;904997344;;cerovo3@gmail.com
Obecná knižnica Pohranice;obecná NZ;Fungujúca;Pohranice 185;951 02;Pohranice;Nitra;Nitriansky;Ladislav Hajdu;377871921;;kultura@pohranice.sk
Obecná knižnica Zemplínske Hradište;obecná NZ;Stagnujúca;Obecná 392/11;076 01;Zemplínske Hradište;Trebišov;Košický;Ján Oláh;566727323;;bocianopolis@azet.sk
Obecná knižnica Litmanová;obecná NZ;Stagnujúca;Litmanová 79;065 31;Litmanová;Stará Ľubovňa;Prešovský;Vasiľ Vislocký;915540886;;obeclitmanova@litmanova.sk
Obecná knižnica Kružná;obecná NZ;Stagnujúca;Kružná 139;049 51;Kružná;Rožňava;Košický;Ondrej Fábián;587883560;;obec.kruzna@gmail.com
Obecná knižnica Potvorice;obecná NZ;Fungujúca;Potvorice 88;916 25;Potvorice;Nové Mesto nad Váhom;Trenčiansky;Ľubomír Malo;908741262;;obecpotvorice@stonline.sk
Miestna knižnica Lipovec;obecná NZ;Fungujúca;Obchodná 105;038 61;Lipovec;Martin;Žilinský;Zdenka Kellerová;434222013;;obec@lipovec.sk
Obecná knižnica Sikenica;obecná NZ;Fungujúca;Trhyňa 72;937 01;Sikenica;Levice;Nitriansky;Júlis Maďar;367711304;;starosta@sikenica.sk
Obecná knižnica Rohožník;obecná NZ;Fungujúca;Školské námestie 1;906 38;Rohožník;Malacky;Bratislavský;Mgr. Peter Švaral;907984017;;starosta@rohoznik.sk
Obecná knižnica Lednica;obecná NZ;Fungujúca;Lednica 232;020 63;Lednica;Púchov;Trenčiansky;Milan Barka;424697045;;obec.lednica@stonline.sk
Obecná knižnica Lesnica;obecná NZ;Fungujúca;Lesnica 26;065 33;Lesnica;Stará Ľubovňa;Prešovský;Ján Gondek;907923981;;info@lesnica.sk
Obecná knižnica Štefanovičová;obecná NZ;Fungujúca;Štefanovičová 75;951 15;Štefanovičová;Nitra;Nitriansky;Ing. Viera Kurucová;377798011;;obec@stefanovicova.sk
Obecná knižnica Radimov;obecná NZ;Fungujúca;Radimov 167;908 47;Radimov;Skalica;Trnavský;Ing. Ján Provazník;908347498;;obec@radimov.sk
Obecná knižnica Zbrojníky;obecná NZ;Fungujúca;Zbrojníky 166;935 55;Zbrojníky;Levice;Nitriansky;Bc. Juraj Kišš;367799115;;obecnyurad@zbrojniky.sk
Obecná knižnica Kovarce;obecná NZ;Fungujúca;Kovarce 461;956 15;Kovarce;Topoľčany;Nitriansky;Mgr. Helena Paučírová;944179853;;starosta@obeckovarce.sk
Obecná knižnica Horné Turovce;obecná NZ;Fungujúca;Horné Turovce 108;935 81;Horné Turovce;Levice;Nitriansky;Mgr. Tomáš Sztyahula;948100751;;hturovce@horneturovce.sk
Obecná knižnica Ďurková;obecná NZ;Fungujúca;Ďurková 18;065 41;Ďurková;Stará Ľubovňa;Prešovský;Ing. Ján Kuruc;915601879;;obecdurkova@slnet.sk
Obecná knižnica Malé Vozokany;obecná NZ;Fungujúca;Malé Vozokany 25;951 82;Malé Vozokany;Zlaté Moravce;Nitriansky;Viera Ďurčeková;376342132;;malevozokany@gmail.com
Obecná knižnica Čab;obecná NZ;Fungujúca;Čab 1;951 24;Čab;Nitra;Nitriansky;Ing. Ladislav Mellen;377894388;;obecnyuradcab@stonline.sk
Obecná knižnica Modrany;obecná NZ;Stagnujúca;Modrany 337;946 33;Modrany;Komárno;Nitriansky;Štefan Édes;357788121;;obecmodrany@inmail.sk
Obecná knižnica Viničky;obecná NZ;Stagnujúca;Tokajská 191/5;076 31;Viničky;Trebišov;Košický;Michal Takáč;566373281;;obecvinicky@kid.sk
Obecná knižnica Hromoš;obecná NZ;Fungujúca;Hromoš 114;065 45;Hromoš;Stará Ľubovňa;Prešovský;Maroš Kočiš;524393411;;sekretariat@hromos.sk
Obecná knižnica Bratislava - Záhorská Bystrica;obecná NZ;Fungujúca;Čsl. tankistov 134;845 37;Bratislava - Záhorská Bystrica;Bratislava IV;Bratislavský;Ing. Jozef Krupa;264287757;;starosta@zahorskabystrica.sk
Obecná knižnica Podhájska;obecná NZ;Fungujúca;Zdravotnícka 322/2;941 48;Podhájska;Nové Zámky;Nitriansky;Ing. Vladimír Bakoš;356586106;;starosta@obecpodhajska.sk
Obecná knižnica Nižná Jablonka;obecná NZ;Stagnujúca;Nižná Jablonka 36;067 34;Nižná Jablonka;Humenné;Prešovský;Miroslav Rosoľanka;577880396;;nizna.jablonka@gmail.com
Miestna knižnica Jarovce;obecná NZ;Fungujúca;Palmová 1;851 10;Bratislava - Jarovce;Bratislava V;Bratislavský;Ing. Pavel Škodler;262860178;;starosta@jarovce.sk
Obecná knižnica Zatín;obecná NZ;Fungujúca;Hlavná 241/45;076 53;Zatín;Trebišov;Košický;Zoltán Szaxon;948124142;;ocuzatin@centrum.sk
Obecná knižnica Kameničná;obecná NZ;Fungujúca;Kameničná 790;946 01;Kameničná;Komárno;Nitriansky;Ing. Milan Lehocký;357792166;;starosta@kamenicna.eu
Obecná knižnica Veľké Dvorníky;obecná NZ;Stagnujúca;Hlavná ulica 190/16;929 01;Veľké Dvorníky;Dunajská Streda;Trnavský;Ernest Tóth;315522790;;jan.urogi@velkedvorniky.sk
Obecná knižnica Hruboňovo;obecná NZ;Fungujúca;Hruboňovo 153;951 25;Hruboňovo;Nitra;Nitransky;;377896065;;obechrubonovo@stonline.sk
Obecná knižnica Tekovský Hrádok;obecná NZ;Fungujúca;Tekovský Hráok 126;935 51;Tekovský Hrádok;Levice;Nitriansky;Vojtech Ožvald;910139858;;tek.hradok@stonline.sk
Obecná knižnica Veľké Vozokany;obecná NZ;Fungujúca;Veľké Vozokany;951 82;Veľké Vozokany;Zlaté Moravce;Nitriansky;Ing. Justína Pálková;376342293;;ou-velkevozokany@slovanet.sk
Miestna knižnica Čunovo;obecná NZ;Fungujúca;Hraničiarska 134;851 10;Bratislava - Čunovo;Bratislava V;Bratislavský;Gabriela Ferenčáková;262850629;;miestnyurad@mc-cunovo.sk
Miestna knižnica Rusovce;obecná NZ;Fungujúca;Vývojová 8;851 10;Bratislava - Rusovce;Bratislava V;Bratislavský;Dušan Antoš;904913538;;starosta@bratislava-rusovce.sk
Obecná knižnica Vyšný Mirošov;obecná NZ;Fungujúca;Vyšný Mirošov 100;090 11;Vyšný Mirošov;Svidník;Prešovský;Michal Petraník;902109966;;vysnymirosov@post.sk
Obecná knižnica Horné Strháre;obecná NZ;Stagnujúca;Horné Strháre 47;991 03;Horné Strháre;Veľký Krtíš;Banskobystrický;Juraj Pastorok;474896359;;hornestrhare@gmail.com
Obecná knižnica Chrťany;obecná NZ;Fungujúca;Chrťany 101;991 21;Chrťany;Veľký Krtíš;Banskobystrický;Pavel Hriň;907884690;;obecchrtany@post.sk
Obecná knižnica Kiarov;obecná NZ;Fungujúca;Kiarov 25;991 06;Kiarov;Veľký Krtíš;Banskobystrický;Pavol Suchánsky;474881180;;kiarov@gonet.sk
Obecná knižnica Koláre;obecná NZ;Fungujúca;Koláre 1;991 09;Koláre;Veľký Krtíš;Banskobystrický;Alžbeta Grešinová;474894266;;kolare@mail.t-com.sk
Obecná knižnica Kosihy nad Ipľom;obecná NZ;Fungujúca;Kosihy nad Ipľom 164;991 11;Kosihy nad Ipľom;Veľký Krtíš;Banskobystrický;Silvia Košíková;907818947;;kosihynadiplom@zoznam.sk
Obecná knižnica Kováčovce;obecná NZ;Fungujúca;Kováčovce 52;991 06;Kováčovce;Veľký Krtíš;Banskobystrický;Jozef Filip;474871294;;kovacovce@gonet.sk
Obecná knižnica Lesenice;obecná NZ;Zrušená;Lesenice 228;991 08;Lesenice;Veľký Krtíš;Banskobystrický;Ing. Ladislav Majdán;474894100;;lesenice@mail.t-com.sk
Obecná knižnica Ľuboriečka;obecná NZ;Stagnujúca;Ľuboriečka 113;991 02;Ľuboriečka;Veľký Krtíš;Banskobystrický;Ján Žilka;474897191;;obec.luboriecka@dtnet.sk
Obecná knižnica Malé Straciny;obecná NZ;Fungujúca;Malé Straciny 86;990 01;Malé Straciny;Veľký Krtíš;Banskobystrický;Tatiana Kaššayová;474896431;;tatianakassayova@gmail.com
Obecná knižnica Rajčany;obecná NZ;Fungujúca;Rajčany 129;956 32;Rajčany;Topoľčany;Nitriansky;Mária Švecová;902703946;;ocu.rajcany@gmail.com
Obecná knižnica Malé Zlievce;obecná NZ;Stagnujúca;Malé Zlievce 75;991 22;Malé Zlievce;Veľký Krtíš;Banskobystrický;Darina Huďanová;474892182;;obecmalezlievce@gmail.com
Obecná knižnica Malé Ripňany;obecná NZ;Fungujúca;Malé Ripňany 87;956 07;Malé Ripňany;Topoľčany;Nitriansky;Mgr. Pavol Gubáň;903110463;;ou.mripnany@mail.t-com.sk
Obecná knižnica Golianovo;obecná NZ;Fungujúca;Golianovo 399;951 08;Golianovo;Nitra;Nitriansky;Mgr. Ľuboš Kolárik;918480879;;obec.golianovo@gmail.com
Obecná knižnica Rúbaň;obecná NZ;Fungujúca;Rúbaň 28;941 36;Rúbaň;Nové Zámky;Nitriansky;Ing. Štěpánka Zacharová;356499003;;starosta@obecruban.sk
Obecná knižnica Nová Ves;obecná NZ;Fungujúca;Nová Ves 250;991 05;Nová Ves;Veľký Krtíš;Banskobystrický;Štefan Paholík;474886287;;obec.novaves@gost.sk
Obecná knižnica Obeckov;obecná NZ;Fungujúca;Obeckov 165;991 05;Obeckov;Veľký Krtíš;Banskobystrický;Ľudovít Roško;474890114;;obeckov@gmail.com
Obecná knižnica Olováry;obecná NZ;Stagnujúca;Olováry 129;991 22;Olováry;Veľký Krtíš;Banskobystrický;Jozef Vízi;473811591;;obec.olovary@gmail.com
Obecná knižnica Opatovská Nová Ves;obecná NZ;Fungujúca;Opatovská Nová Ves 189;991 07;Opatovská Nová Ves;Veľký Krtíš;Banskobystrický;László Jámbor;474894201;;ocuonves@gmail.com
Obecná knižnica Opava;obecná NZ;Fungujúca;Opava 131;991 25;Opava;Veľký Krtíš;Banskobystrický;Pavel Lekýr;949282554;;obecnyurad26@zoznam.sk
Obecná knižnica Pravica;obecná NZ;Stagnujúca;Pravica 32, pošta Závada;991 21;Pravica;Veľký Krtíš;Banskobystrický;Pavel Lenhard;9181678127;;
Obecná knižnica Príbelce;obecná NZ;Fungujúca;Príbelce 280;991 25;Príbelce;Veľký Krtíš;Banskobystrický;Ing. Tibor Čierny;915263652;;pribelce@gmail.com
Obecná knižnica Sečianky;obecná NZ;Fungujúca;Sečianky 89;991 10;Sečianky;Veľký Krtíš;Banskobystrický;Mgr. Jozef Deák;474888118;;ocusecianky@gmail.com
Obecná knižnica Senné;obecná NZ;Fungujúca;Senné 81;991 01;Senné;Veľký Krtíš;Banskobystrický;Ing. Ján Ragač;474998122;;obecsenne@gmail.com
Obecná knižnica Sklabiná;obecná NZ;Stagnujúca;Sklabiná 13;991 05;Sklabiná;Veľký Krtíš;Banskobystrický;Bc. Marta Kálovcová;474514140;;ocusklabina@zoznam.sk
